product_id,title,description,category,brand,price,size,color,rating
P0001,Woodland Footwear Product 1,"This pair of footwear from Woodland is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹3215.",Footwear,Woodland,3215,6,Red,3.1
P0002,Titan Watches Product 2,"Crafted by Titan, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Titan,3275,Medium,Black,4.1
P0003,Casio Watches Product 3,"Casio watches are known for reliability, and this model is no exception. With a clean design and comfortable fit, it’s ideal for long hours of use.",Watches,Casio,7505,Medium,Grey,3
P0004,American Tourister Accessories Product 4,This accessory by American Tourister is designed to be both functional and stylish. The blue finish and large size make it easy to pair with different outfits.,Accessories,American Tourister,5719,Large,Blue,4.3
P0005,Casio Watches Product 5,This watch from Casio blends classic design with everyday practicality. Its red dial and comfortable large fit make it suitable for both casual and formal wear.,Watches,Casio,8797,Large,Red,4.8
P0006,RayBan Glasses Product 6,"This product from RayBan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,RayBan,7045,Large,Black,4.5
P0007,Wildcraft Accessories Product 7,This accessory by Wildcraft is designed to be both functional and stylish. The red finish and large size make it easy to pair with different outfits.,Accessories,Wildcraft,4125,Large,Red,4.8
P0008,Bata Footwear Product 8,"This pair of footwear from Bata is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹2742.",Footwear,Bata,2742,6,White,4.9
P0009,Titan Watches Product 9,"Titan watches are known for reliability, and this model is no exception. With a clean design and comfortable fit, it’s ideal for long hours of use.",Watches,Titan,2321,Small,Blue,3.7
P0010,Sony Electronics Product 10,"This product from Sony is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Sony,5861,Medium,Black,3.9
P0011,Skechers Shoes Product 11,"This product from Skechers is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Skechers,2970,10,Black,3.8
P0012,RedTape Footwear Product 12,"Designed by RedTape, this footwear offers a perfect balance of comfort and durability. The yellow finish gives it a stylish look, while the fit in size 9 makes it suitable for all-day wear.",Footwear,StrideX,8161,9,Yellow,4.9
P0013,Wildcraft Accessories Product 13,"Wildcraft delivers a well-crafted accessory that fits seamlessly into daily use. It is lightweight, durable, and designed with attention to detail.",Accessories,Wildcraft,3080,Medium,Brown,3.7
P0014,Titan Watches Product 14,This watch from Titan blends classic design with everyday practicality. Its blue dial and comfortable small fit make it suitable for both casual and formal wear.,Watches,Titan,6693,Small,Blue,3.7
P0015,Titan Glasses Product 15,"This product from Titan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Titan,6097,Small,Black,3.5
P0016,Lenskart Glasses Product 16,"This product from Lenskart is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Lenskart,6351,Large,Green,4.5
